City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
139,Kruisfontein,98,ZA,2021-03-19 22:50:56,86,-34.0033,24.7314,64.99,1.99
140,Rocha,12,UY,2021-03-19 22:51:26,81,-34.4833,-54.3333,58.87,6.24
141,Kincardine,75,GB,2021-03-19 22:52:54,100,56.0667,-3.7167,44.6,2.3
142,Portsmouth,9,GB,2021-03-19 22:51:24,83,50.799,-1.0913,45.0,5.46
143,Tamandare,2,BR,2021-03-19 22:48:11,81,-8.7597,-35.1047,78.73,7.65
144,Saint-Philippe,0,RE,2021-03-19 22:50:53,78,-21.3585,55.7679,77.0,3.44
145,Puerto Ayora,40,EC,2021-03-19 22:50:57,74,-0.7393,-90.3518,82.4,6.91
146,Agadez,25,NE,2021-03-19 22:52:55,15,19.75,10.25,84.56,7.83
147,Gamboma,99,CG,2021-03-19 22:52:55,89,-1.8764,15.8644,73.98,2.57
148,Kikwit,10,CD,2021-03-19 22:52:55,94,-5.041,18.8162,71.74,0.65
149,Adrar,0,MR,2021-03-19 22:51:40,18,20.5022,-10.0711,72.79,13.85
150,Sandpoint,40,US,2021-03-19 22:52:19,61,48.2766,-116.5533,48.0,5.75
151,Cap Malheureux,6,MU,2021-03-19 22:51:25,92,-19.9842,57.6142,75.0,19.51
152,Kaoma,96,ZM,2021-03-19 22:52:56,94,-14.7833,24.8,66.11,4.43
153,Sitka,90,US,2021-03-19 22:50:50,86,57.0531,-135.33,32.0,17.27
154,Makasar,20,ID,2021-03-19 22:52:56,100,-5.14,119.4221,73.4,2.3
155,Bud,0,US,2021-03-19 22:52:56,52,39.447,-86.1758,46.0,11.21
156,Hambantota,95,LK,2021-03-19 22:52:57,80,6.1241,81.1185,76.01,8.9
157,Coffs Harbour,90,AU,2021-03-19 22:52:57,94,-30.3,153.1333,70.0,6.91
158,Hofn,35,IS,2021-03-19 22:52:57,85,64.2539,-15.2082,44.24,22.75
159,Jibuti,20,DJ,2021-03-19 22:52:57,73,11.5,42.5,77.0,13.06
160,Zlobin,0,HR,2021-03-19 22:52:58,41,45.2924,14.6541,39.2,2.3
161,Alofi,100,NU,2021-03-19 22:52:06,94,-19.0595,-169.9187,78.8,4.61
162,Gravdal,75,NO,2021-03-19 22:52:58,70,68.1214,13.5031,41.0,42.5
163,Narsaq,90,GL,2021-03-19 22:51:36,40,60.9167,-46.05,33.8,12.66
164,Makakilo City,40,US,2021-03-19 22:52:59,50,21.3469,-158.0858,80.6,12.66
165,Mackay,40,AU,2021-03-19 22:52:59,88,-21.15,149.2,77.0,11.5
166,Kamina,84,CD,2021-03-19 22:52:59,90,-8.7386,24.9906,64.22,0.45
167,Arraial Do Cabo,20,BR,2021-03-19 22:51:27,83,-22.9661,-42.0278,77.0,8.05
